"","unique_id","report.","date","year","month","overall_type","category","type","type_desc","offense","i.ward","a.ward","a.city","a.county","a.state","a.race","a.gender","a.age","age_range","initiated"
"376",376,190003769,2019-01-29,"2019","01","Crime","Part I - Property","APP","Application for charges","Larceny","Ward 6","OOC","College Park","Prince George's","MD","White","Man",41,"40-49","Public"
"377",377,190002739,2019-01-26,"2019","01","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 4","OOC","Silver Spring","Montgomery","MD","Black","Man",25,"18-29","Public"
"378",378,190004062,2019-01-26,"2019","01","Crime","Part I - Violent","APP","Application for charges","Robbery","Ward 6","Ward 6","Takoma Park","Takoma Park (MC)","MD","Black","Woman",22,"18-29","Public"
"379",379,190004062,2019-01-26,"2019","01","Crime","Part I - Violent","APP","Application for charges","Robbery","Ward 6","Ward 6","Takoma Park","Takoma Park (MC)","MD","Black","Woman",25,"18-29","Public"
"380",380,190004088,2019-01-26,"2019","01","Crime","Part II - Violent","APP","Application for charges","Assault","Ward 5","Ward 5","Takoma Park","Takoma Park (MC)","MD","Black","Woman",40,"40-49","Public"
"381",381,190003120,2019-01-20,"2019","01","Crime","Part II - Nuisance","CA","Arrest","Disorderly Conduct","Ward 6","OOC","Silver Spring","Montgomery","MD","White","Man",46,"40-49","Public"
"382",382,190002929,2019-01-19,"2019","01","Crime","Part II - Nuisance","CA","Arrest","Trespassing","Ward 5","UNK","UNK","UNK","UNK","Black","Woman",55,"50-59","Public"
"383",383,190002435,2019-01-16,"2019","01","Crime","Part I - Property","CA","Arrest","Larceny","Ward 6","OOC","Washington","DC","DC","Black","Man",53,"50-59","Public"
"384",384,190002472,2019-01-16,"2019","01","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 1","OOC","Mitchellville","Prince George's","MD","Black","Man",44,"40-49","Officer"
"385",385,190002235,2019-01-15,"2019","01","Crime","Part I - Violent","APP","Application for charges","Robbery","Ward 3","OOC","Clinton","Prince George's","MD","Black","Man",18,"18-29","Public"
"386",386,190001859,2019-01-12,"2019","01","Crime","Part II - Violent","CA","Arrest","Assault","Ward 5","OOC","Adelphi","Prince George's","MD","Hispanic","Man",27,"18-29","Public"
"387",387,190001704,2019-01-11,"2019","01","Crime","Part II - Nuisance","APP","Application for charges","Disorderly Conduct","Ward 5","UNK","UNK","UNK","UNK","Black","Woman",27,"18-29","Public"
"388",388,190001740,2019-01-11,"2019","01","Crime","Part II - Violent","APP","Application for charges","Sex Offense","Ward 6","Ward 6","Takoma Park","Takoma Park (MC)","MD","Hispanic","Man",37,"30-39","Public"
"389",389,190000996,2019-01-10,"2019","01","Crime","Part II - Nuisance","CRC","Criminal citation","Disorderly Conduct","Ward 2","OOC","Irvington","OOS","NJ","Black","Man",25,"18-29","Officer"
"390",390,190000998,2019-01-10,"2019","01","Crime","Part II - Nuisance","CRC","Criminal citation","Disorderly Conduct","Ward 2","OOC","Hyattsville","Prince George's","MD","Black","Man",32,"30-39","Officer"
"391",391,180050687,2019-01-08,"2019","01","Crime","Part I - Property","APP","Application for charges","Burglary","Ward 6","OOC","Laurel","Prince George's","MD","White","Man",25,"18-29","Public"
"392",392,180050687,2019-01-08,"2019","01","Crime","Part I - Property","APP","Application for charges","Burglary","Ward 6","OOC","Capitol Heights","Prince George's","MD","Hispanic","Man",31,"30-39","Public"
"393",393,180065368,2019-01-07,"2019","01","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Rockville","Montgomery","MD","Hispanic","Man",21,"18-29","Public"
"394",394,180065251,2018-12-30,"2018","12","Crime","Part I - Violent","JVA","Juvenile arrest","Robbery","Ward 6","OOC","TP unincorporated (MC)","Montgomery","MD","Hispanic","Man",16,"10-17","Public"
"395",395,180065251,2018-12-30,"2018","12","Crime","Part I - Violent","JVA","Juvenile arrest","Robbery","Ward 6","OOC","Silver Spring","Montgomery","MD","White","Man",16,"10-17","Public"
"396",396,180064122,2018-12-26,"2018","12","Crime","Part II - Nuisance","CA","Arrest","Trespassing","Ward 6","OOC","Hyattsville","Prince George's","MD","Black","Woman",27,"18-29","Public"
"397",397,180064115,2018-12-23,"2018","12","Crime","Part II - Nuisance","CA","Arrest","Trespassing","Ward 5","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",33,"30-39","Public"
"398",398,180064132,2018-12-23,"2018","12","Crime","Part I - Violent","CA","Arrest","Aggravated Assault","Ward 5","OOC","Silver Spring","Montgomery","MD","Black","Man",33,"30-39","Public"
"399",399,180063986,2018-12-22,"2018","12","Crime","Part II - Safety","CA","Arrest","Peace/Protection Order","Ward 5","OOC","Potomac","Montgomery","MD","Black","Man",27,"18-29","Public"
"400",400,180062769,2018-12-20,"2018","12","Crime","Part II - Vice","CRC","Criminal citation","CDS: Paraphernalia","Ward 2","OOC","Washington","DC","DC","Black","Woman",33,"30-39","Public"
"401",401,180063370,2018-12-19,"2018","12","Crime","Part II - Nuisance","CA","Arrest","Disorderly Conduct","Ward 6","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",32,"30-39","Public"
"402",402,180062372,2018-12-14,"2018","12","Crime","Part I - Property","CA","Arrest","Larceny","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Man",52,"50-59","Public"
"403",403,180061829,2018-12-11,"2018","12","Crime","Part II - Violent","CA","Arrest","Assault","Ward 2","OOC","Bladensburg","Prince George's","MD","Black","Woman",32,"30-39","Public"
"404",404,180058877,2018-12-10,"2018","12","Crime","Miscellaneous","CA","Arrest","All Other - Criminal","Ward 3","OOC","Gaithersburg","Montgomery","MD","Black","Man",50,"50-59","Public"
"405",405,180061444,2018-12-09,"2018","12","Crime","Part II - Nuisance","CA","Arrest","Trespassing","Ward 6","OOC","Burtonsville","Montgomery","MD","Black","Woman",33,"30-39","Public"
"406",406,180061546,2018-12-09,"2018","12","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Adelphi","Prince George's","MD","Black","Man",27,"18-29","Public"
